NIGP Code,CPV mapping
20575,42991200
20576,42991200
20577,42991200
20578,42991200
20579,42991200
20580,42991200
20582,42991200
20583,30213000
20584,30237200
20587,30237200
20588,30237200
20589,30237200
20590,30237200
20591,30237200
20593,30237200
20595,30237200
20596,30213000
20600,30213000
20614,30237200
20617,31712114
20620,30237135#30230000
20621,30237135#30230000
20623,30237135#30230000
20625,30237200
20627,30237200
20628,30213000
20631,30237200
20632,30237200
20634,30237200
20636,30234000
20640,30237200
20644,30233000
20645,30233000
20646,30233000
20647,30233000
20651,30233000
20654,48190000
20655,30237200
20656,30237200
20657,30237200
20659,30237200
20661,30237200
20664,30237135#30230000
20666,30237135#30230000
20668,30237135#30230000
20670,30232100
20671,30232100
20672,30232100
20673,30232100
20674,30232100
20675,30232100
20676,30232100
20677,30232100
20678,30232100
20679,30213000
20680,30233000
20683,30237200
20684,30237200
20685,30237200
20686,30237200
20687,30237200
20689,30233000
20693,30213000
20700,30237200
20710,30237200
20714,30237200
20720,30237200
20723,30237200
20725,39830000#39330000
20730,30233000
20732,30237200
20734,30237200
20737,30231300
20742,30234000
20747,30237200
20749,30124000
20750,30124000
20755,30197620#30197630
20760,30192000
20767,31210000
20772,30197642#30197643
20775,30231300
20779,30237200
20782,30234000
