Description,CPV
Fresh cut novelty chrysanthemums,03100000
Fresh cut santini chrysanthemums,03100000
Fresh cut rose bouquets,03100000
Fresh cut carnation bouquets,03100000
Fresh cut mini carnation bouquets,03100000
Fresh cut lily bouquets,03100000
Fresh cut pompon chrysanthemum bouquets,03100000
Fresh cut alstroemeria bouquets,03100000
Fresh cut tropical flower bouquets,03100000
Fresh cut mixed floral bouquets,03100000
Dried cut blue or lavender or purple rose ,03100000
Dried cut chocolate or brown rose ,03100000
Dried cut cream rose ,03100000
Dried cut green or lime rose ,03100000
Dried cut light pink rose ,03100000
Dried cut multi-colored pink rose ,03100000
Dried cut orange rose ,03100000
Dried cut peach rose ,03100000
Dried cut pink rose ,03100000
Dried cut red or burgundy rose ,03100000
Dried cut sweetheart rose ,03100000
Dried cut white rose ,03100000
Dried cut yellow rose ,03100000
Dried cut spray roses ,03100000
Dried cut anthuriums,03100000
Dried cut alliums,03100000
Dried cut alstroemerias,03100000
Dried cut amaranthuses,03100000
Dried cut amaryllises,03100000
Dried cut anemone,03100000
Dried cut asclepias,03100000
Dried cut asters,03100000
Dried cut berzelia lanuginosas,03100000
Dried cut bouvardias,03100000
Dried cut brodiaeas,03100000
Dried cut callas,03100000
Dried cut carnations,03100000
Dried cut celosias,03100000
Dried cut daffodils,03100000
Dried cut dahlias,03100000
Dried cut delphiniums,03100000
Dried cut dianthuses,03100000
Dried cut eremuruses,03100000
Dried cut ericas,03100000
Dried cut euphorbias,03100000
Dried cut freesias,03100000
Dried cut fritillarias,03100000
Dried cut genistas,03100000
Dried cut gerberas,03100000
Dried cut ginger plants,03100000
Dried cut gladioluses,03100000
Dried cut godetias,03100000
Dried cut guzmanias,03100000
Dried cut gypsophilias,03100000
Dried cut heather,03100000
Dried cut heliconias,03100000
Dried cut hyacinths,03100000
Dried cut hydrangeas,03100000
Dried cut irises,03100000
Dried cut kangaroo paws,03100000
Dried cut larkspurs,03100000
Dried cut leptos,03100000
Dried cut lilacs,03100000
Dried cut lilies,03100000
Dried cut limoniums,03100000
Dried cut lisianthuses,03100000
Dried cut muscari blooms or grape hyacinths,03100000
Dried cut narcissus,03100000
Dried cut dendrobium orchids,03100000
Dried cut ornamental peppers,03100000
Dried cut ornithogalums,03100000
Dried cut peonies,03100000
Dried cut proteas and leucadendrons and banksias,03100000
Dried cut ranunculuses,03100000
Dried cut scabiosas,03100000
Dried cut scotch brooms,03100000
Dried cut snap dragons,03100000
Dried cut statices,03100000
Dried cut matthiola incana or stock flowers,03100000
Dried cut sunflowers,03100000
Dried cut sweet peas,03100000
Dried cut thistles,03100000
Dried cut tulips,03100000
Dried cut waxflowers,03100000
Dried cut yarrows,03100000
Dried cut zinnias,03100000
Dried cut agapanthuses,03100000
Dried cut alchemillas,03100000
Dried cut alstilbes,03100000
Dried cut angelicas,03100000
Dried cut artemesias,03100000
Dried cut artichoke flowers,03100000
Dried cut astrantias,03100000
Dried cut banana flowers,03100000
Dried cut baptisias,03100000
Dried cut boronias,03100000
Dried cut bromelias,03100000
Dried cut brunias,03100000
Dried cut calatheas,03100000
Dried cut calcynias,03100000
Dried cut calendulas,03100000
Dried cut campanulas or bellflowers,03100000
Dried cut cestrums,03100000
Dried cut chasmanthes,03100000
Dried cut costuses,03100000
