Description,CPV
Forestry ipsometer,16820000
Greenhouse irrigation equipment,43323000#03000000
Greenhouse pots,16000000
Greenhouse ventilation equipment,42520000
Greenhouse isolation equipment,42520000
Beekeeping equipment,16640000
Silkworm equipment,03000000
Butterfly breeding equipment,03000000
Beetle breeding equipment,03000000
Commercial fish hooks,37413000
Commercial fishing reels,03300000
Commercial fishing line tackle,03300000
Commercial fishing nets,37413000
Commercial fishing floats,03300000
Commercial sinkers or weights,03300000
Fishing net haulers,03300000
Marine hatchery equipment,16000000
Pisciculture supplies,03000000
Front end loaders,43251000
Graders,43221000
Pile drivers,43311000
Rollers,43312400#43312500 
Tampers,43240000
Trenching machines,43210000
Backhoes,43251000
Compactors,43315000
Draglines,43262100
Dredgers,43262100
Ditchers,43262100
Elevating scrapers,43230000
Twin engine open bowl scrapers,43230000
Twin engine elevating scrapers,43230000
Pulled scrapers,43230000
Track bulldozers,43211000
Wheel bulldozers,43211000
Mobile excavators,43262100
Wheel excavators,43262100
Track excavators,43262100
Integrated tool carriers,43261100
Wheel loaders,34144710
Skid steer loaders,43262100
Open bowl scrapers,43230000
Snow blowers,43313200
Track loaders,43262100
Treedozers,16310000#43210000
Combat earthmovers,22800000#79131000
Pile extractor,43314000
Tire washer,44532200
Ramming equipment,16000000
Road wideners,16000000
Vibratory plates,42000000
Asphalt finishers,44000000
Chip Spreaders,34000000
Road pavers,44000000
Cold planers,43312100
Paving material mixers,43000000
Aggregate spreaders,34000000#43000000
Bituminous material distributors,43412000
Road rooters,44000000
Road surface heater planers,44000000
Concrete paving strike offs,44000000
Paving breakers,43312300
Curbing machines,43413000
Grouting machines,04300000
Trackway surfacing outfits or its laying mechanisms,43500000
Scrubbing machines,42000000
Joint cleaning or refacing machines,42000000
Asphalt distributor,44113620
Asphalt recycler,44113620
Concrete paving and finishing machine,44000000
Road marking machine,34922100
Concrete surfacing machine,44000000#43000000
Asphalt mixing plant,44000000
Asphalt melter,44000000
Aggregate washer,44532200
Aggregate dryer,42000000
Roadmarking remover,34000000
Earthmoving shovels,44511120
Earthmoving buckets or its parts or accessories,43210000
Blades or tooth or other cutting edges,42113172
Scarifiers,16120000
Track links or track shoes or its parts,42000000
Dippers,42000000
Taglines,42000000
Rippers,16000000
Grapples,44000000
Snowplow attachments,43313000
Paving breaker tools or accessories,43312300
Pile driver tools or its parts or accessories,43311000
Backhoe boom or boom sections,43250000
Tamper parts or repair kits,34000000
Batching plants or feeders,44000000
Construction machinery conversion kits,43300000
Earth moving moldboards,43210000
Grader control systems,43220000
Grader frame saddles,43220000
Trencher crumber shoes,43000000
Stake driver bits and accessories,42000000
Manlift or personnel lift,42416000
Platform lift,42416000
Articulating boom lift,42416000
Telescoping boom lift,42416000
Concrete mixers or plants,43200000#43320000
Plaster or mortar mixers,43413000
Rotary tiller mixers,16000000
Curing machines,42000000
Concrete spreaders,43000000
Shoring equipment,43000000
Trench braces,44000000
Demolition equipment kits,44000000
Coping machines,42638000
Drilling machines,43130000#43132100
Broaching machines,42000000
Bending machines,42633000
Boring machines,43124000
Grinding machines,43414000
Molding machines,42000000
Cutting machines,42000000#43000000
Sanding machines,43811000
Polishing machines,42000000
Turning machines,42000000
Sawing machines,43812000
Milling machines,42637300
Planing machines,42000000
Engraving machines,42962500
Glass bead peener machines,42000000
Grit blast machines,42000000
Shot peen machine,42000000
Robot machines,42000000#42997300
Ram electro discharge machines,42000000
Wire cathode electrode discharge machine,42000000
Chip breaker,42000000
Oscillating spindle sander,42000000
Drum sander,42000000
Distillate hydroprocessing equipment,42000000
Crude distilling machinery,42000000
Catalytic cracking equipment,42000000
Hydrocracking equipment,42000000
Isomerization machinery,42000000
Coking machinery,42000000
Gas recovery machinery,42000000
Naptha hydrotreater,42000000
Distillate hydrotreater,42000000
Catalytic feed hydrotreater,42000000
Lube hydrotreater,42000000
Gasoline hydrotreater,42000000
Resid hydrotreater,42000000
Embroidery making machines,42711000
Felting machines,42000000
Winding or reeling or spooling machines,42000000
Twisting machines,42000000
Stitch bonding machines,42000000
Knitting machines,42714000
Weaving machines,42713000
Finishing machines,42000000
Spinning machines,42712000
Lace making machines,42000000
Button covering machines,42715000
Button sewing machines,42715000
Buttonhole machines,42715000
Cloth cutting machines,42000000
Cushion filling machines,42000000
Folding or rewinding machines,42000000
Bleaching machines,42000000
Fabric or cloth folding machines,42000000
Reeling or unreeling machines,42000000
Dyeing machines,42000000
Cutting or pinking machines,42000000
Sewing machine needles,39227110
Silk processing machines,42000000
Sewing machines,42715000
Fabric cutting tables,39121200
Abrasive compounds,14522400#14811000
Felt wheels,39562000
Grinding wheels,14811300
Polishing compounds,39800000
Polishing heads,39800000
Polishing wheels,39800000
Sanding cloths,39510000
Sanding drums,39000000
Tumblers or polishers,42000000
Tumbling supplies or media,44000000
Water swivels,42000000
Water trays,39221160
Sanding blocks,44111600
Mounted stones,44000000
Grinding wheel dressers,43000000
Faceting accessories,42000000
Faceting machines,42000000
Faceting laps,42000000
Faceting saws,42000000
Cabbing accessories,31000000
Cabbing belts,42000000
Cabbing discs,42000000
Cabochon machines,42000000
Leather fleshing machines,42711000
Leather tanning machines,42700000
Leather dyeing machines,42700000
Leather degreasing machines,42700000
Leather presses,42700000
Leather cutting machines,42700000
Leather riveting machines,42700000
Leather nailing machines,42700000
Leatherworking workshop equipment,42700000
Blow molding machines,42000000
Coating machines,42000000
Extruders,42000000
Injection molding machines,42000000
Rubber or plastic presses,42000000
Thermo forming machines,43000000
Vacuum molding machines,42000000
Vulcanizing machines,42000000
Plastic cutting machinery,42994200
Plastic grinding machinery,42994200
Rubber or plastic mills,42994200
Rubber or plastic extrusion dies,42994200
Plastic injection molds,42994200
Thermoforming molds,42000000
Ejector pins,42000000
In mold decoration IMD cylinder,42000000
Dip molding equipment,42000000
Urethane foam molding and processing equipment,42000000
Rotational molding equipment,42000000
Blowers or dryers,39000000
Crushers,42000000
Fusion welding or glass drawing machines,42000000
Grinding or polishing machines,43414000
Cement or ceramic or glass or similar material molding machines,42000000
Presses,42000000
Sifters,39000000
Lens grinding machines,43414000
Lens measuring equipment,38000000
Lens polishing equipment,42000000
Lens testing equipment,42000000
Optical vacuum coating equipment,42000000
Ampoule filling equipment,42000000
Bottle cappers or cotton inserters or safety seal applicators,42000000
Capsulating machines,42000000
Reactors or fermenters or digesters,42000000
Filling or sealing auger dose machines,42921000
Pharmaceutical filters or ultra filters,42000000
Freezedryers or lyophilzers,42000000
Granulators,42000000
Pharmaceutical sieve or screening machines,43411000
Sterile or aseptic processing or filling machines,42921000
Tablet or capsule testing machines,33000000
Tablet counters,33100000
Tabletting machines,33000000
Vaccine production equipment,33000000
Chromatography columns,38432200
Chromatography media,38432200
Sterility test devices,33000000
Filter integrity testers,33000000
Filter cartridge adapter,30000000
Adapters or connectors or fittings for pharmaceutical filter housings,33000000
Diagnostic radiopharmaceutical,33000000
Pharmacy compounder or accessories,33000000
Cutters,42000000
Slitters,42000000
Washing or dewatering machines,42716120
Winders,42000000
Wood pulp or dissolver machines,42000000
Calenders for paper or cardboard making,30199792
Screen drum or sieve,42000000
Corona treaters,42000000
Flame treaters,42000000
Vibratory separation equipment or parts or screens,42000000
Stationary separation equipment or parts or screens,42000000
Air classification equipment or parts or screens,42000000
Centrifugal separation equipment or parts or screens,42000000
Electromechanical vibrator,42000000
Urethane profile vibratory separation screen,42000000
Profile wire vibratory separation screen,42000000
Punch plate vibratory separation screen,42000000
Urethane coated punch plate vibratory separation screen,42000000
Urethane or rubber wire vibratory separation screen,42000000
Woven wire vibratory separation screen,42000000
Urethane coated woven wire vibratory separation screen,42000000
Rotary tables,43611500
Stack stands,39000000
Engine or component test stands,42000000
Machine guarding,42000000
Band saw tables,39121200
Barrier guarding,42000000
Wrapping machinery,42921300
Form or fill or seal machinery,42000000
Packaging vacuum,42000000
Packaging hoppers,42000000
Carton forming machines,42000000
Taping machines,42000000
Packaging machinery supplies,42921320
Calibration jig,42000000
Guide jig,42000000
Master jig,42000000
Needle jig,42000000
Shaft jig,42000000
Checking jig,42000000
Setting jig,42000000
Camera jig,42000000
Pickup jig,42000000
Removal jig,42000000
Nozzle jig,42000000
Sliding jig,42000000
Centering jig,42000000
Inspecting jig,42000000
Feeder jig,42000000
Clutch jig,42000000
Alignment jig,42000000
Positioning jig,42000000
Lifter plate,44170000
Tape guide,44000000
Tape feed jaw,42000000
Power feeder,42000000
Feeder harness,31000000
Feed jaw,42000000
Mechanical gripper,42000000
Holder jaw,42000000
Jaw assembly,42000000
Stationary jaw,42000000
Jig block,43000000
Linear motion guides,42000000
Measuring jigs,42000000
Ring jigs,42000000
Throat plate,42715000
Machine rails,42000000
Finger plates,39221210
Keeper plates,44171000
Feed roll assembly,42000000
Trestle,44000000
Machine rail carriage,34622400
Pitch stopper,34600000
Paper stopper,39000000
Stopper pad,39000000
Machine way wipers,42000000
Machine mounts or vibration isolators,31000000
Wear plates or bars or strips,44000000
Dust deflectors,42000000
Sprocket hubs,42000000
Feed or drive rollers,43000000
Feed roller covers,39000000
Saw dust chutes,42000000
Machinery dust covers,39000000
Cutting or chipping heads,43000000
Guide beds,39000000
Link arms,42000000
Electro discharge machine EDM wire,42000000
Accordion bellows,37000000
Spray nozzle,44000000
Spray block,42924300
Paint robots,42000000
Pick or place robots,42000000
Sealant adhesive robots,42000000
Welding robots,42000000
Machine tending robot,42000000
Material removal robot,42000000
Adhesive or glue application systems,42000000
Assembly fixtures,42000000
Specialty assembly,42000000
Assembly systems for chassis vehicle operation VO,42000000
Unlimited component assembly,42000000
Powertrain complete lines,42000000
Surface mount device,31000000
Fill test,42000000
Non portable nutrunner multispindle,42000000
Body skids,42000000
Tire mounting inflating,34000000
Gullotine Shears,42000000
Glass insertion pick up PU application,42000000
Articulating lazy arms,30000000
Automatic chassis decking,42000000
Flexible components,42000000
Miscellaneous assembly machines,42000000
Custom assembly fixtures or tooling,42000000
Custom single station machine,42000000
Wire and cable assembly machine,42000000
Paint application system,42000000
Paint booth repair,42000000
Paint systems ovens,42000000
Paint plant layout or engineering,42000000
Turn key paint system,42000000
Phosphate or e coat paint system,42000000
Miscellaneous or miscellaneous paint shop,44810000
Miscellaneous paint systems,44810000
Acid etch marking machines,42000000
Laser marking machine,42000000
Pinstamp marking machine,42000000
Laser Etching Tool,42600000
Pulse tool,42600000
Nutrunner,42600000
Electrostatic fluxer,38000000
Electrical coil winding machine,42000000
Foundry blowers,43420000
Foundry burners,42000000
Core drying ovens,42000000
Foundry crucibles,43400000
Foundry converters,43400000
Casting machines,43720000
Sizing or embossing presses,22521000
Foundry mold machine,43400000
Foundry bellows,43400000
